Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,ASML,BTC-USD,ETH-USD,GOOGL,SPY,TSM,ASML,BTC-USD,ETH-USD,GOOGL,SPY,TSM,ASML,BTC-USD,ETH-USD,GOOGL,SPY,TSM,ASML,BTC-USD,ETH-USD,GOOGL,SPY,TSM,ASML,BTC-USD,ETH-USD,GOOGL,SPY,TSM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,7200.17431640625,130.802001953125,,,,,7254.33056640625,132.83535766601562,,,,,7174.9443359375,129.1982879638672,,,,,7194.89208984375,129.6306610107422,,,,,18565664997,7935230330,,,
2020-01-02,285.5315246582031,6985.47021484375,127.4101791381836,67.83250427246094,296.1252746582031,53.50326919555664,285.9935541091272,7212.1552734375,130.82003784179688,67.83250427246094,296.1435228475682,53.574557592275745,283.43833586780187,6935.27001953125,126.95491027832031,66.73275901654908,293.9923228046252,53.11117111577176,284.0606383486598,7202.55126953125,130.82003784179688,66.82791589956109,294.91296621198353,53.11117111577176,573600.0,20802083465,8032709256,27278000.0,59151200.0,8432600.0
2020-01-03,280.9303283691406,7344.88427734375,134.1717071533203,67.47765350341797,293.8829345703125,51.73884201049805,283.5703735373943,7413.71533203125,134.55401611328125,68.08378239307208,295.00411329960116,52.5586773323571,280.6568858706783,6914.99609375,126.49002075195312,66.77389484039315,292.68884653822107,51.72101906010369,281.0151838808701,6984.4287109375,127.41126251220703,66.80760017733454,292.74353546966336,52.54976755685002,410800.0,28111481032,10476845358,23408000.0,77709700.0,10546400.0
2020-01-04,,7410.65673828125,135.06936645507812,,,,,7427.3857421875,136.05271911621094,,,,,7309.51416015625,133.04055786132812,,,,,7345.37548828125,134.16851806640625,,,,,18444271275,7430904515,,,
2020-01-05,,7411.3173828125,136.2767791748047,,,,,7544.4970703125,139.4102020263672,,,,,7400.53564453125,135.04562377929688,,,,,7410.45166015625,135.0720977783203,,,,,19725074095,7526675353,,,
2020-01-06,278.6956481933594,7769.21923828125,144.3041534423828,69.2762222290039,295.0041809082031,51.14179229736328,278.8276648216006,7781.8671875,144.32818603515625,69.30149556378939,295.08621432416686,51.409129792297726,275.7255905755673,7409.29296875,136.0796356201172,66.95629344220531,292.01437027823323,50.910100708254944,276.42333931537144,7410.4521484375,136.3055419921875,66.98751077493854,292.13287226263657,51.32892820387932,617600.0,23276261598,9093747121,46768000.0,55653900.0,8897200.0
2020-01-07,281.7223205566406,8163.6923828125,143.5439910888672,69.14240264892578,294.1747741699219,51.97053909301758,284.01350552259913,8178.2158203125,145.00177001953125,69.55821779935313,294.91310293008047,52.22005362630961,280.42114526012136,7768.2275390625,140.48887634277344,68.96646485726092,293.7281105838369,50.562559855951825,281.6091798829141,7768.68212890625,144.31199645996094,69.4075533410106,294.43909486463315,51.19525936501694,477700.0,28767291327,9257954672,34330000.0,40496400.0,7444300.0
2020-01-08,284.64520263671875,8079.86279296875,141.2581329345703,69.63453674316406,295.742431640625,52.35371398925781,285.8709314478746,8396.73828125,146.8280029296875,69.97204388362319,296.9547400028766,52.55867280205613,282.8065806456573,7956.7744140625,138.26820373535156,69.01949180178964,294.1199284891358,51.78339322331817,283.4854533589678,8161.935546875,143.48782348632812,69.12802647532469,294.3660286722624,51.85468161937067,536900.0,31672559265,9387194957,35314000.0,68296000.0,5381500.0
